année,cadres,professions_inter,employés,ouvriers,ensemble
1996,100.0,100.0,100.0,100.0,100.0
1997,100.5,100.1,100.7,100.9,100.6
1998,100.9,100.2,101.9,101.4,101.6
1999,103.4,100.7,102.4,102.4,103.1
2000,105.2,100.7,101.8,102.6,103.6
2001,106.1,100.1,102.4,103.4,104.3
2002,106.3,100.0,102.5,104.1,104.4
2003,105.6,100.0,102.4,104.6,104.5
2004,105.1,99.5,102.0,105.1,104.6
2005,106.1,100.0,103.1,106.3,105.7
2006,106.4,100.5,103.4,105.8,105.9
2007,108.7,101.5,104.3,107.3,107.6
2008,108.0,101.4,104.4,108.6,107.9
2009,106.3,101.4,105.6,110.9,109.3
2010,107.6,101.6,105.5,110.7,109.8
2011,105.8,101.5,106.7,113.5,110.2
2012,104.8,100.3,105.9,112.9,109.7
2013,103.5,99.9,106.2,112.6,109.5
2014,104.0,100.6,107.1,113.1,110.0
2015,105.1,101.1,108.0,114.4,111.3
2016,105.4,101.2,108.0,114.6,111.7
2017,105.6,102.2,108.7,115.1,112.7
2018,105.4,101.7,108.7,115.3,113.1
2019,104.6,103.1,110.7,117.7,114.3
2020,106.6,104.5,112.9,118.5,117.8
2021,104.7,103.3,112.1,117.4,115.6
2022,103.4,102.4,111.2,116.3,114.1
